English,Spanish,French,German,Italian
original,original,original,original,originale
head,cabeza / jefe,tete / chef,Kopf / Leiter,testa / capo
radio,radio,radio,Radio,radio
until,hasta,jusqu a,bis,fino a
cell,celula / celda,cellule,Zelle,cellula
color,color,couleur,Farbe,colore
self,uno mismo / yo,soi / soi meme,Selbst,se stesso
council,consejo,conseil,Rat,consiglio
away,lejos,loin,weg,lontano
includes,incluye,inclut,enthalt,include
track,pista / rastrear,piste / suivre,Spur / verfolgen,traccia / seguire
australia,Australia,Australie,Australien,Australia
discussion,discusion,discussion,Diskussion,discussione
archive,archivo / archivar,archive / archiver,Archiv / archivieren,archivio / archiviare
once,una vez,une fois,einmal,una volta
others,otros,autres,andere,altri
entertainment,entretenimiento,divertissement,Unterhaltung,intrattenimento
agreement,acuerdo,accord,Vereinbarung,accordo
format,formato,format,Format,formato
least,menos / al menos,le moins / au moins,am wenigsten / mindestens,meno / almeno
society,sociedad,societe,Gesellschaft,societa
months,meses,mois,Monate,mesi
log,registro / tronco,journal / bûche,Protokoll / Stamm,registro / tronco
safety,seguridad,securite,Sicherheit,sicurezza
friends,amigos,amis,Freunde,amici
sure,seguro,sur,sicher,sicuro
trade,comercio / intercambiar,commerce / echanger,Handel / tauschen,commercio / scambiare
edition,edicion,edition,Ausgabe,edizione
cars,coches / autos,voitures,Autos,auto
messages,mensajes,messages,Nachrichten,messaggi
marketing,marketing / mercadotecnia,marketing,Marketing,marketing
tell,decir / contar,dire / raconter,sagen / erzahlen,dire / raccontare
further,mas / adicional,plus loin / supplementaire,weiter / zusatzlich,oltre / ulteriore
updated,actualizado,mis a jour,aktualisiert,aggiornato
association,asociacion,association,Verband / Vereinigung,associazione
able,capaz,capable,fahig,capace
having,teniendo,ayant,habend,avendo
provides,proporciona / brinda,fournit,bietet,fornisce
david,David,David,David,David
fun,diversion,amusement,Spass,divertimento
already,ya,deja,bereits,gia
green,verde,vert,grun,verde
studies,estudios,etudes,Studien,studi
close,cerca / cerrar,proche / fermer,nah / schliessen,vicino / chiudere
common,comun,commun,gemeinsam / haufig,comune
drive,conducir / unidad,conduire / lecteur,fahren / Laufwerk,guidare / unita
specific,especifico,specifique,spezifisch,specifico
several,varios,plusieurs,mehrere,diversi
gold,oro,or,Gold,oro
living,viviendo / vida,vivant / vie,lebend / Wohnen,vivente / vita
collection,coleccion,collection,Sammlung,collezione
called,llamado,appele,genannt,chiamato
short,corto,court,kurz,corto
arts,artes,arts,Kunste,arti
lot,mucho / lote,beaucoup / lot,viel / Los,molto / lotto
ask,preguntar,demander,fragen,chiedere
display,mostrar / pantalla,afficher / ecran,anzeigen / Anzeige,mostrare / schermo
limited,limitado,limite,begrenzt,limitato
powered,impulsado / alimentado,alimente,angetrieben / betrieben,alimentato
solutions,soluciones,solutions,Losungen,soluzioni
means,medios / significa,moyens / signifie,Mittel / bedeutet,mezzi / significa
director,director,directeur,Direktor,direttore
daily,diario,quotidien,taglich,quotidiano
beach,playa,plage,Strand,spiaggia
past,pasado,passe,Vergangenheit / vergangen,passato
natural,natural,naturel,naturlich,naturale
whether,si,si,ob,se
due,debido / vencido,du / a cause de,fallig / aufgrund,dovuto / in scadenza
electronics,electronica,electronique,Elektronik,elettronica
five,cinco,cinq,funf,cinque
upon,sobre / al,sur / des que,auf / sobald,su / al
period,periodo,periode,Zeitraum / Periode,periodo
planning,planificacion,planification,Planung,pianificazione
database,base de datos,base de donnees,Datenbank,database
says,dice,dit,sagt,dice
official,oficial,officiel,offiziell,ufficiale
weather,clima / tiempo,temps / meteo,Wetter,tempo / meteo
land,tierra / aterrizar,terre / atterrir,Land / landen,terra / atterrare
average,promedio / medio,moyenne / moyen,Durchschnitt / durchschnittlich,media / medio
done,hecho,fait,getan / fertig,fatto
technical,tecnico,technique,technisch,tecnico
window,ventana,fenetre,Fenster,finestra
france,Francia,France,Frankreich,Francia
pro,profesional / a favor,pro / professionnel,pro / Profi,pro / professionista
region,region,region,Region,regione
island,isla,ile,Insel,isola
record,registro / grabar,enregistrement / enregistrer,Aufzeichnung / aufzeichnen,record / registrare
direct,directo / dirigir,direct / diriger,direkt / leiten,diretto / dirigere
microsoft,Microsoft,Microsoft,Microsoft,Microsoft
conference,conferencia,conference,Konferenz,conferenza
environment,entorno / medio ambiente,environnement,Umwelt,ambiente
records,registros,dossiers / enregistrements,Aufzeichnungen,registri
district,distrito,district,Bezirk,distretto
calendar,calendario,calendrier,Kalender,calendario
costs,costos / cuesta,couts / coute,Kosten / kostet,costi / costa
style,estilo,style,Stil,stile
front,frente / parte delantera,avant / devant,Vorderseite / Front,fronte / parte anteriore
statement,declaracion,declaration,Erklarung,dichiarazione
update,actualizar / actualizacion,mettre a jour / mise a jour,aktualisieren / Aktualisierung,aggiornare / aggiornamento
parts,partes,parties / pieces,Teile,parti / pezzi
ever,alguna vez,jamais / deja,jemals,mai / qualche volta
downloads,descargas,telechargements,Downloads,download
early,temprano,tot / precoce,fruh,presto
miles,millas,miles,Meilen,miglia
sound,sonido / sonar,son / sembler,Ton / klingen,suono / sembrare
resource,recurso,ressource,Ressource,risorsa
present,presente / presentar,present / presenter,gegenwartig / prasentieren,presente / presentare
applications,aplicaciones,applications,Anwendungen,applicazioni
either,cualquiera de los dos / tampoco,soit / non plus,entweder / auch nicht,o / neanche
ago,hace,il y a,vor,fa
document,documento,document,Dokument,documento
word,palabra,mot,Wort,parola
works,obras / funciona,oeuvres / fonctionne,Werke / funktioniert,opere / funziona
material,material,materiel,Material,materiale
bill,factura / proyecto de ley,facture / projet de loi,Rechnung / Gesetzesentwurf,conto / disegno di legge
written,escrito,ecrit,geschrieben,scritto
talk,hablar / charla,parler / discussion,sprechen / Gesprach,parlare / conversazione
federal,federal,federal,bundes- / föderal,federale
hosting,alojamiento,hebergement,Hosting / Beherbergung,hosting / ospitalita
rules,reglas,regles,Regeln,regole
final,final,final,final,finale
adult,adulto,adulte,Erwachsener,adulto
tickets,entradas / boletos,billets,Tickets / Eintrittskarten,biglietti
thing,cosa,chose,Ding,cosa
centre,centro,centre,Zentrum,centro
requirements,requisitos,exigences,Anforderungen,requisiti
via,a traves de,via / par,uber / via,tramite / via
cheap,barato,bon marche,billig,economico
kids,ninos,enfants,Kinder,bambini
finance,finanzas,finance,Finanzen,finanza
true,verdadero,vrai,wahr,vero
minutes,minutos,minutes,Minuten,minuti
else,mas / otra cosa,autre / sinon,sonst / anderes,altro / altrimenti
mark,marca / marcar,marque / marquer,Marke / markieren,marchio / segnare
third,tercero,troisieme,dritte,terzo
rock,roca / rock,roche / rock,Fels / Rock,roccia / rock
gifts,regalos,cadeaux,Geschenke,regali
europe,Europa,Europe,Europa,Europa
reading,lectura / leyendo,lecture / lisant,Lesen / lesend,lettura / leggendo
topics,temas,sujets,Themen,argomenti
bad,malo,mauvais,schlecht,cattivo
individual,individual / individuo,individuel / individu,individuell / Individuum,individuale / individuo
tips,consejos,conseils,Tipps,consigli
plus,mas / ademas,plus,plus,piu
auto,auto / automovil,auto,Auto,auto
cover,cubrir / portada,couvrir / couverture,abdecken / Umschlag,coprire / copertina
usually,usualmente,habituellement,ublicherweise,di solito
edit,editar,modifier / editer,bearbeiten,modificare / editare
together,juntos,ensemble,zusammen,insieme
videos,videos,videos,Videos,video
percent,por ciento,pour cent,Prozent,percento
fast,rapido,rapide,schnell,veloce
function,funcion,fonction,Funktion,funzione
fact,hecho,fait,Tatsache,fatto
unit,unidad,unite,Einheit,unita
getting,obteniendo,obtenant,bekommen / erhalten,ottenendo
global,global,mondial,global,globale
tech,tecnologia,tech / technologie,Technik,tecnologia
meet,conocer / reunirse,rencontrer / reunir,treffen,incontrare / riunirsi
far,lejos,loin,weit,lontano
economic,economico,economique,wirtschaftlich,economico
player,jugador / reproductor,joueur / lecteur,Spieler / Abspieler,giocatore / lettore
projects,proyectos,projets,Projekte,progetti
lyrics,letras de canciones,paroles,Liedtexte,testi
often,a menudo,souvent,oft,spesso
subscribe,suscribirse,s abonner,abonnieren,abbonarsi
submit,enviar / presentar,soumettre,einreichen,inviare / presentare
germany,Alemania,Allemagne,Deutschland,Germania
amount,cantidad,montant / quantite,Betrag / Menge,importo / quantita
watch,mirar / reloj,regarder / montre,sehen / Uhr,guardare / orologio
included,incluido,inclus,enthalten,incluso
feel,sentir,sentir,fuhlen,sentire
though,aunque,bien que / quoique,obwohl,sebbene
bank,banco,banque,Bank,banca
risk,riesgo,risque,Risiko,rischio
thanks,gracias,merci,danke,grazie
everything,todo,tout,alles,tutto
deals,ofertas / acuerdos,offres / accords,Angebote / Abschlusse,offerte / accordi
various,varios,divers,verschiedene,vari
words,palabras,mots,Worter,parole
linux,Linux,Linux,Linux,Linux
production,produccion,production,Produktion,produzione
commercial,comercial,commercial,kommerziell,commerciale
james,James,James,James,James
weight,peso,poids,Gewicht,peso
town,pueblo / ciudad,ville,Stadt,citta / paese
heart,corazon,coeur,Herz,cuore
advertising,publicidad,publicite,Werbung,pubblicita
received,recibido,recu,erhalten,ricevuto
choose,elegir,choisir,wahlen,scegliere
treatment,tratamiento,traitement,Behandlung,trattamento
newsletter,boletin informativo,bulletin d information,Newsletter,newsletter
archives,archivos,archives,Archive,archivi
points,puntos,points,Punkte,punti
knowledge,conocimiento,connaissance,Wissen,conoscenza
magazine,revista,magazine,Zeitschrift,rivista
error,error,erreur,Fehler,errore
camera,camara,camera,Kamera,fotocamera
girl,chica / nina,fille,Madchen,ragazza
currently,actualmente,actuellement,derzeit,attualmente
construction,construccion,construction,Bau,costruzione
toys,juguetes,jouets,Spielzeuge,giocattoli
registered,registrado,enregistre,registriert,registrato
clear,claro / despejar,clair / degager,klar / loschen,chiaro / cancellare
golf,golf,golf,Golf,golf
receive,recibir,recevoir,erhalten,ricevere
domain,dominio,domaine,Domain / Bereich,dominio
methods,metodos,methodes,Methoden,metodi
chapter,capitulo,chapitre,Kapitel,capitolo
makes,hace,fait,macht,fa
protection,proteccion,protection,Schutz,protezione
policies,politicas,politiques,Richtlinien,politiche
loan,prestamo,pret,Darlehen,prestito
wide,amplio,large,breit,ampio
beauty,belleza,beaute,Schonheit,bellezza
manager,gerente,gestionnaire,Manager,manager
india,India,Inde,Indien,India
position,posicion,position,Position,posizione
taken,tomado,pris,genommen,preso
sort,ordenar / tipo,trier / type,sortieren / Art,ordinare / tipo
listings,listados,listes,Auflistungen,elenchi
models,modelos,modeles,Modelle,modelli
michael,Michael,Michael,Michael,Michael
known,conocido,connu,bekannt,noto / conosciuto
half,mitad,moitie,Halfte,meta
cases,casos,cas,Falle,casi
step,paso,etape,Schritt,passo
engineering,ingenieria,ingenierie,Ingenieurwesen,ingegneria
florida,Florida,Floride,Florida,Florida
simple,simple,simple,einfach,semplice
quick,rapido,rapide,schnell,rapido
none,ninguno,aucun,keiner,nessuno
wireless,inalambrico,sans fil,kabellos,wireless / senza fili
license,licencia,licence,Lizenz,licenza
paul,Paul,Paul,Paul,Paolo / Paul
friday,viernes,vendredi,Freitag,venerdi
lake,lago,lac,See,lago
whole,entero / completo,entier,ganz / vollstandig,intero / completo
annual,anual,annuel,jahrlich,annuale
published,publicado,publie,veroffentlicht,pubblicato
later,mas tarde,plus tard,spater,piu tardi
basic,basico,de base,grundlegend,di base
shows,muestra / programas,montre / spectacles,zeigt / Shows,mostra / spettacoli
corporate,corporativo,d entreprise,unternehmerisch,aziendale
google,Google,Google,Google,Google
church,iglesia,eglise,Kirche,chiesa
method,metodo,methode,Methode,metodo
purchase,compra / comprar,achat / acheter,Kauf / kaufen,acquisto / acquistare
customers,clientes,clients,Kunden,clienti
active,activo,actif,aktiv,attivo
response,respuesta,reponse,Antwort,risposta
practice,practica / practicar,pratique,Praxis / ubung,pratica / esercitare
hardware,hardware,materiel informatique,Hardware,hardware
figure,figura,figure,Figur,figura
materials,materiales,materiaux,Materialien,materiali
fire,fuego,feu,Feuer,fuoco
holiday,vacaciones / festivo,vacances / ferie,Urlaub / Feiertag,vacanza / festivo
chat,chat / charla,chat,Chat,chat / conversazione
enough,suficiente,assez,genug,abbastanza
designed,disenado,concu,entworfen,progettato
along,a lo largo de / junto con,le long de / avec,entlang / zusammen mit,lungo / insieme a
among,entre,parmi,unter,tra
death,muerte,mort,Tod,morte
writing,escritura,ecriture,Schreiben,scrittura
speed,velocidad,vitesse,Geschwindigkeit,velocita
countries,paises,pays,Lander,paesi
loss,perdida,perte,Verlust,perdita
face,cara / enfrentar,visage / faire face,Gesicht / gegenuberstehen,faccia / affrontare
brand,marca,marque,Marke,marchio
discount,descuento,reduction,Rabatt,sconto
higher,mas alto,plus eleve,hoher,piu alto
effects,efectos,effets,Auswirkungen,effetti
created,creado,cree,erstellt,creato
remember,recordar,se souvenir,sich erinnern,ricordare
standards,estandares / normas,normes,Standards / Normen,standard / norme
oil,petroleo / aceite,huile,Ol / Erdol,olio / petrolio
bit,bit,bit,Bit,bit
yellow,amarillo,jaune,gelb,giallo
political,politico,politique,politisch,politico
increase,aumentar / aumento,augmentation / augmenter,Anstieg / erhohen,aumento / aumentare
advertise,anunciar,faire de la publicite,werben,pubblicizzare
kingdom,reino,royaume,Konigreich,regno
base,base,base,Basis,base
near,cerca,pres de,nahe,vicino
environmental,ambiental,environnemental,umweltbezogen,ambientale
thought,pensamiento / penso,pensee / pensa,Gedanke / dachte,pensiero / penso
stuff,cosas,trucs,Zeug,roba
french,frances,francais,franzosisch,francese
storage,almacenamiento,stockage,Speicherung,archiviazione
japan,Japon,Japon,Japan,Giappone
doing,haciendo,faisant,tuend,facendo
loans,prestamos,prets,Darlehen,prestiti
shoes,zapatos,chaussures,Schuhe,scarpe
entry,entrada,entree,Eintrag / Eintritt,ingresso / voce
stay,quedarse / estancia,rester / sejour,bleiben / Aufenthalt,restare / soggiorno
nature,naturaleza,nature,Natur,natura
orders,pedidos / ordenes,commandes,Bestellungen / Ordnungen,ordini
availability,disponibilidad,disponibilite,Verfugbarkeit,disponibilita
africa,Africa,Afrique,Afrika,Africa
summary,resumen,resume,Zusammenfassung,riassunto
turn,girar / turno,tourner / tour,drehen / Wende,girare / turno
mean,significar / media,signifier / moyenne,bedeuten / Mittelwert,significare / media
growth,crecimiento,croissance,Wachstum,crescita
notes,notas,notes,Notizen,note
agency,agencia,agence,Agentur,agenzia
king,rey,roi,Konig,re
monday,lunes,lundi,Montag,lunedi
european,europeo,europeen,europaisch,europeo
activity,actividad,activite,Aktivitat,attivita
copy,copia / copiar,copie / copier,Kopie / kopieren,copia / copiare
although,aunque,bien que,obwohl,sebbene
drug,droga / medicamento,drogue / medicament,Droge / Medikament,droga / medicinale
